name,stars,forks,language,open_issues,created_date,updated_date,watchers_count
-AES-encryption-and-decryption.,0,0,,1,2023-08-15T23:43:22Z,2023-08-16T01:08:55Z,0
AlphaSign-Flutter-CNN-Gesture-Classifier-App,1,0,,0,2024-11-07T22:53:17Z,2024-11-07T22:53:23Z,1
ANN-Classification-Churn,0,0,Jupyter Notebook,0,2025-08-14T18:31:01Z,2025-08-14T18:51:27Z,0
BigData,0,0,R,0,2026-02-17T00:03:46Z,2026-02-20T21:46:21Z,0
Brute-Horse,0,0,TypeScript,0,2024-09-02T12:29:12Z,2025-05-16T14:37:00Z,0
CarAssembly,0,0,Assembly,0,2023-12-05T18:50:45Z,2023-12-05T18:51:49Z,0
CarAssemblyPart2,0,0,Assembly,0,2023-12-12T12:02:12Z,2023-12-13T10:48:24Z,0
CMP-Software-Engineering,0,0,,0,2024-10-01T11:55:07Z,2024-10-01T11:55:07Z,0
CODSOFT,0,0,CSS,0,2023-09-10T15:32:22Z,2023-09-15T15:38:25Z,0
Compress_and_decompress-,0,0,Python,0,2024-05-13T15:18:00Z,2024-05-13T15:21:42Z,0
Data-Science-Labs,0,0,Jupyter Notebook,0,2026-03-01T12:59:42Z,2026-03-02T19:39:09Z,0
Digital_communication_Assignments-,1,0,Jupyter Notebook,0,2025-04-30T22:26:21Z,2025-04-30T22:38:10Z,1
Egyptian-Premier-League-Match-Reservation-System,0,0,JavaScript,0,2025-11-29T18:56:15Z,2025-12-08T14:47:21Z,0
embedded-labs,0,0,C++,0,2025-05-04T19:25:14Z,2025-05-04T19:26:31Z,0
Face_Recognition-,0,0,Jupyter Notebook,0,2025-02-18T19:06:40Z,2025-02-21T12:38:29Z,0
Front-End,0,0,TypeScript,0,2024-08-05T21:14:38Z,2024-10-08T16:56:08Z,0
GameStore,0,0,JavaScript,0,2023-12-12T21:34:16Z,2023-12-18T21:33:24Z,0
GameStote,0,0,,0,2023-12-12T21:31:20Z,2023-12-12T21:31:20Z,0
Machine-Intelligence,0,0,Python,0,2025-10-22T12:26:57Z,2025-12-09T23:57:48Z,0
MCQ-and-Grades-Auto-Filler,0,0,Jupyter Notebook,0,2024-12-13T11:30:51Z,2024-12-23T21:22:34Z,0
Nesma-Osama,0,0,,0,2024-06-25T12:45:05Z,2025-05-04T19:11:30Z,0
neural-network-labs,0,0,Jupyter Notebook,0,2025-05-04T19:19:42Z,2025-05-04T19:22:30Z,0
NLP-Labs,0,0,Jupyter Notebook,0,2025-11-18T13:39:29Z,2025-11-26T22:51:11Z,0
Node.js-Server-with-Authentication-Features,0,0,JavaScript,0,2024-01-28T19:57:01Z,2025-01-05T17:32:11Z,0
One-Time-Pad-Stream-cipher,0,0,Python,0,2025-04-11T19:42:00Z,2025-05-02T16:07:20Z,0
Paint-for-Kids,0,0,C++,0,2023-08-09T22:09:32Z,2023-08-09T22:54:22Z,0
Personal-Portfolio,0,0,HTML,0,2023-08-17T22:56:11Z,2023-08-18T00:08:55Z,0
Process-Scheduler-,0,1,C++,0,2023-07-09T17:14:30Z,2023-08-09T22:06:49Z,0
Racing-Game-using-asmx86,0,0,,0,2024-01-28T22:26:23Z,2024-01-28T22:26:23Z,0
RISC_PROCESSOR,0,1,VHDL,0,2024-12-16T12:25:33Z,2024-12-25T06:58:17Z,0
Satellite-Imagery,0,0,Jupyter Notebook,0,2026-02-20T14:59:23Z,2026-02-23T19:26:58Z,0
SchedueTheProcesses,0,0,C,0,2024-04-24T19:24:55Z,2024-04-25T15:30:19Z,0
Sessions-Codes,0,0,C++,0,2023-07-21T22:32:49Z,2023-07-21T22:38:38Z,0
simple-automl,0,0,Python,0,2025-09-01T21:38:16Z,2025-09-02T12:17:20Z,0
Synopsys-Chip-Design,0,0,,0,2024-12-30T11:55:32Z,2024-12-30T11:55:32Z,0
Tasks-App,0,0,JavaScript,0,2023-08-17T12:22:28Z,2023-08-17T12:27:24Z,0
Teeth-Classification,0,0,Jupyter Notebook,0,2025-07-02T17:15:17Z,2025-07-08T16:36:14Z,0
Text-Summarizer,0,0,Python,0,2025-09-12T15:57:37Z,2025-09-12T19:03:46Z,0
vec_db,1,0,,0,2025-12-05T20:59:46Z,2025-12-06T10:02:17Z,1
Video-Classification-Cellula,0,0,Jupyter Notebook,0,2025-08-07T16:07:06Z,2025-08-21T15:16:42Z,0
Water-Segmentation-satellite,0,0,Jupyter Notebook,0,2025-07-31T14:10:01Z,2025-07-31T19:40:39Z,0
Who-Is-Talking,0,0,,0,2025-10-22T12:26:04Z,2025-10-22T12:26:04Z,0
