title,price,rating,in_stock,category
Soumission,50.1,1,1,Fiction
Private Paris (Private #10),47.61,5,1,Fiction
"We Love You, Charlie Freeman",50.27,5,1,Fiction
Thirst,17.27,5,1,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,3,1,Fiction
Tuesday Nights in 1980,21.04,2,1,Fiction
The Vacationers,42.15,4,1,Fiction
The Regional Office Is Under Attack!,51.36,5,1,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,1,Fiction
The Time Keeper,27.88,5,1,Fiction
The Testament of Mary,52.67,4,1,Fiction
The First Hostage (J.B. Collins #2),25.85,3,1,Fiction
Take Me with You,45.21,3,1,Fiction
Still Life with Bread Crumbs,26.41,3,1,Fiction
Shtum,55.84,4,1,Fiction
My Name Is Lucy Barton,41.56,1,1,Fiction
My Mrs. Brown,24.48,3,1,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,1,Fiction
I Am Pilgrim (Pilgrim #1),10.6,4,1,Fiction
Eligible (The Austen Project #4),27.09,3,1,Fiction
Eight Hundred Grapes,14.39,4,1,Fiction
Dear Mr. Knightley,11.21,5,1,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,3,1,Fiction
Balloon Animals,17.03,3,1,Fiction
A Man Called Ove,39.72,1,1,Fiction
The Silent Sister (Riley MacPherson #1),46.29,5,1,Fiction
The Dinner Party,56.54,2,1,Fiction
The Improbability of Love,59.45,1,1,Fiction
Mothering Sunday,13.34,2,1,Fiction
Lies and Other Acts of Love,45.14,1,1,Fiction
Daredevils,16.34,3,1,Fiction
11/22/63,48.48,3,1,Fiction
The Shack,28.03,1,1,Fiction
The High Mountains of Portugal,51.15,1,1,Fiction
Miller's Valley,58.54,2,1,Fiction
Hystopia: A Novel,21.96,4,1,Fiction
The Bourne Identity (Jason Bourne #1),42.78,4,1,Fiction
Sister Dear,40.2,4,1,Fiction
Memoirs of a Geisha,49.67,3,1,Fiction
Me Before You (Me Before You #1),19.02,1,1,Fiction
Sharp Objects,47.82,4,1,Mystery
"In a Dark, Dark Wood",19.63,1,1,Mystery
The Past Never Ends,56.5,4,1,Mystery
A Murder in Time,16.64,1,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,1,Mystery
The Last Mile (Amos Decker #2),54.21,2,1,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,1,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,1,Mystery
Poisonous (Max Revere Novels #3),26.8,3,1,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,1,Mystery
Most Wanted,35.28,3,1,Mystery
Hide Away (Eve Duncan #20),11.84,1,1,Mystery
Boar Island (Anna Pigeon #19),59.48,3,1,Mystery
The Widow,27.26,2,1,Mystery
Playing with Fire,13.71,3,1,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,1,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,1,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,1,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,1,Mystery
The Exiled,43.45,3,1,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,1,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,1,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,1,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,1,Mystery
The Girl You Lost,12.29,5,1,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,1,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,1,Mystery
1st to Die (Women's Murder Club #1),53.98,1,1,Mystery
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science Fiction
Join,35.67,5,1,Science Fiction
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,1,Science Fiction
The Project,10.65,1,1,Science Fiction
Soft Apocalypse,26.12,2,1,Science Fiction
Sleeping Giants (Themis Files #1),48.74,1,1,Science Fiction
Arena,21.36,4,1,Science Fiction
Foundation (Foundation (Publication Order) #1),32.42,1,1,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,1,Science Fiction
Ready Player One,19.07,4,1,Science Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,1,Science Fiction
Dune (Dune #1),54.86,1,1,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,1,Science Fiction
Three Wishes (River of Time: California #1),44.18,2,1,Science Fiction
The Last Girl (The Dominion Trilogy #1),36.26,2,1,Science Fiction
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,1,Science Fiction
Sapiens: A Brief History of Humankind,54.23,5,1,History
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,1,History
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,1,History
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,1,History
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,1,History
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,1,History
