title,price,rating,in_stock,category
Sharp Objects,47.82,4,True,Mystery
"In a Dark, Dark Wood",19.63,1,True,Mystery
The Past Never Ends,56.5,4,True,Mystery
A Murder in Time,16.64,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True,Mystery
Most Wanted,35.28,3,True,Mystery
Hide Away (Eve Duncan #20),11.84,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,3,True,Mystery
The Widow,27.26,2,True,Mystery
Playing with Fire,13.71,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,True,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,True,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,True,Mystery
The Exiled,43.45,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,True,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,True,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,True,Mystery
The Girl You Lost,12.29,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,True,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,True,Mystery
1st to Die (Women's Murder Club #1),53.98,1,True,Mystery
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,Science Fiction
Join,35.67,5,True,Science Fiction
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,True,Science Fiction
The Project,10.65,1,True,Science Fiction
Soft Apocalypse,26.12,2,True,Science Fiction
Sleeping Giants (Themis Files #1),48.74,1,True,Science Fiction
Arena,21.36,4,True,Science Fiction
Foundation (Foundation (Publication Order) #1),32.42,1,True,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,True,Science Fiction
Ready Player One,19.07,4,True,Science Fiction
